"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-58.673515399507,7.37848714903043,-7.95197094125412,7.42874685741036e-15
"人口淨流入",0.00314368061864702,0.000230943585550337,13.6123313888786,1.38836924145136e-37
"CPI",-0.329244755218433,0.0682018129265501,-4.82750737979668,1.70054644586974e-06
"貸款利率",8.01975085947186,0.934999290135976,8.57728015847537,6.28452865193282e-17
"年所得",7.69710931404125e-05,1.25335473124307e-06,61.4120577532534,3.34726436645719e-283
"失業率3.6",6.89612380962708,1.7755611097043,3.88391239926152,0.000112588561286419
"失業率3.7",1.60060648832988,1.4856905170452,1.07734852579744,0.281697854906909
"失業率3.8",2.17017462285805,1.44788914282757,1.49885413093155,0.134364891507919
"失業率3.9",3.35162905868461,1.52876858343262,2.19237175266843,0.0286830634707944
"失業率4",-1.47928385744031,1.5392670916599,-0.961031302140745,0.3368701735813
"失業率4.1",1.68752790695235,2.5475582691209,0.662409934801873,0.507927818416156
"失業率NA",7.50342829345972,1.2968677034007,5.78580858616799,1.09093580513943e-08
