"統計期","新北市","臺北市","桃園市","臺中市","臺南市","高雄市"
"103上半年",4.00,4.00,4.10,3.90,4.10,4.00
"103下半年",3.90,4.00,4.00,3.90,4.10,3.90
"104上半年",3.60,3.70,3.80,3.70,3.80,3.70
"104下半年",3.80,3.90,4.00,3.80,3.90,3.90
"105上半年",3.90,3.80,4.00,3.80,3.90,4.00
"105下半年",4.00,4.00,4.10,3.80,4.00,4.00
"106上半年",3.80,3.80,3.90,3.60,3.80,3.80
"106下半年",3.70,3.80,3.80,3.70,3.80,3.80
"107上半年",3.70,3.60,3.80,3.60,3.80,3.70
"107下半年",3.80,3.80,3.90,3.80,3.80,3.80
"108上半年",3.80,3.60,3.80,3.70,3.70,3.70
"108下半年",3.80,3.80,3.80,3.80,3.70,3.70
"109上半年",3.90,3.80,4.00,3.90,3.80,3.80
"109下半年",3.90,3.90,4.00,3.90,3.80,3.80
"110上半年",4.00,4.00,4.00,3.90,3.90,4.00
"110下半年",4.10,4.10,4.00,4.00,3.90,3.90
"111上半年",3.70,3.70,3.70,3.60,3.60,3.70
"111下半年",3.80,3.60,3.70,3.70,3.70,3.60
"112上半年",3.50,3.50,3.50,3.50,3.50,3.40
"112下半年",3.50,3.50,3.50,3.50,3.40,3.40
"113上半年",3.40,3.40,3.40,3.40,3.30,3.30
"113下半年",3.50,3.50,3.40,3.40,3.50,3.30

