貸款利率,年所得,CPI,失業率,公寓單價_平均,公寓單價_中位,公寓成交_(棟),房價_平均,房價_中位,住宅大樓成交_(棟),透天厝單價_平均,透天厝單價_中位,透天厝成交_(棟),遷入,遷出,城市,年,月,日期,人口淨流入,失業率_num,預測房價,殘差
1.629,1279865,97.61,3.6,15,14,144,76,18,1956,42,37,725,3134,3621,臺中市,2018,4,2018-04-01,-487,3.6,23.464988849158914,52.535011150841086
1.9609999999999999,1575819,94.76,4,52,49,446,67,65,936,208,145,57,6270,6461,臺北市,2014,5,2014-05-01,-191,4,51.50258062942499,15.49741937057501
1.9849999999999999,1581899,93.3,3.7,53,49,328,66,62,585,138,83,25,5720,5887,臺北市,2015,1,2015-01-01,-167,3.7,51.320709329888984,14.679290670111016
1.97,1575819,93.81,4,50,50,310,66,63,650,146,122,28,6270,6461,臺北市,2014,2,2014-02-01,-191,4,51.782353937836966,14.217646062163034
1.99,1307158,93.41000000000001,3.8,13,12,209,18,18,1095,33,28,479,3140,9210,桃園市,2015,3,2015-03-01,-6070,3.8,3.8208843237196994,14.1791156762803
2.0789999999999997,1751823,106.58,3.5,59,57,484,79,76,874,143,106,34,4285,3609,臺北市,2023,12,2023-12-01,676,3.5,64.85079842750139,14.149201572498612
2.077,1751823,106.92,3.5,60,57,385,80,78,773,164,147,26,4815,3894,臺北市,2023,10,2023-10-01,921,3.5,65.93157051831366,14.068429481686337
1.99,1581899,93.41000000000001,3.7,52,50,388,66,64,803,161,130,34,7069,7044,臺北市,2015,3,2015-03-01,25,3.7,52.26077660470888,13.73922339529112
1.619,1723021,98.6,3.8,48,45,499,65,62,1019,112,92,36,9734,5478,臺北市,2019,7,2019-07-01,4256,3.8,78.52508849907422,13.525088499074215
1.9589999999999999,1575819,94.78,4,51,48,466,65,63,862,175,114,50,6270,6461,臺北市,2014,11,2014-11-01,-191,4,51.4799494109344,13.520050589065598
